,D0000000101,D0000000102,D0000000103,D0000000104,D0000000105,D0000000106,D0000000107,D0000000108,D0000000109,D0000000201,D0000000202,D0000000203,D0000000204,D0000000205,D0000000206,D0000000207,D0000000208,D0000000209,D0000000301,D0000000302,D0000000303,D0000000304,D0000000305,D0000000306,D0000000307,D0000000308,D0000000309,D0000000401,D0000000402,D0000000403,D0000000404,D0000000405,D0000000406,D0000000407,D0000000408,y
0,3.8864907,3.220631,3.7808931,3.4885507,2.820858,3.3834563,3.664642,3,3.5587086,-30.3763275,-30.8513122,-30.2455848,-45.149816,-46.0421227,-44.9055203,-20.5273352,-20.7949956,-20.4533959,4.5225974,4.7966306,4.4471679,5.6603896,6,5.5674111,3.7640693,4,3.698895,50,3.8985573,4.8211098,-151.881638,-9.0804414,-3.0255306,-0.0191844,-0.002293,2.5
1,4.7893903,4.4994121,4.4770199,4.3914468,4.1020219,4.0784931,4.5675439,4.2771965,4.2555619,-30.6622588,-30.9066552,-30.4049308,-45.6598967,-46.0421225,-45.2563917,-20.6639688,-20.7950246,-20.5262192,4.6612314,4.8010133,4.5140533,5.8280482,6,5.6465237,3.883364,4,3.7607706,100,4.4988853,5.7216018,-153.311294,-7.6507853,-1.5300528,-0.0048606,-0.0002911,5
2,5.3178754,5.1313941,4.860817,4.9199354,4.7337909,4.4622482,5.0960266,4.9093206,4.6393869,-30.7515717,-30.9017023,-30.4716438,-45.8199567,-46.0421225,-45.4047925,-20.7059817,-20.7950296,-20.540192,4.7083353,4.8006207,4.5362634,5.885347,6,5.6710935,3.9236609,4,3.7815325,150,4.8504897,6.2490084,-153.757858,-7.2042207,-1.0236875,-0.0021694,-8.67E-05,7.5
3,5.6926487,5.5552517,5.1259527,5.2947087,5.1574568,4.7276226,5.4707999,5.3333062,4.9043639,-30.7881951,-30.8972424,-30.4951639,-45.87648,-46.0421225,-45.4308174,-20.7293385,-20.7950316,-20.5529534,4.731555,4.8002673,4.5469116,5.9142814,6,5.6836548,3.9430707,4,3.7902162,200,5.100078,6.6233908,-153.940975,-7.0211038,-0.7689359,-0.0012226,-3.66E-05,10
4,5.9834053,5.8746986,5.3286568,5.5854652,5.4767273,4.9308268,5.7615565,5.6528707,5.1067347,-30.8032967,-30.8931408,-30.4874098,-45.8944462,-46.0421225,-45.3753935,-20.7425303,-20.7950325,-20.5578955,4.7448214,4.7999424,4.5510191,5.931354,6,5.6900769,3.9537996,4,3.7913265,250,5.2937245,6.9138605,-154.016483,-6.9455958,-0.6155735,-0.0007831,-1.88E-05,12.5
5,6.2208729,6.1309298,5.4928609,5.8229327,5.7329194,5.0952252,5.9990243,5.9091279,5.2708092,-30.8235262,-30.8922329,-30.5249411,-45.9299566,-46.0421225,-45.4429272,-20.7525826,-20.7950332,-20.5679954,4.7540877,4.7998704,4.5551255,5.9426628,6,5.693702,3.9617051,4,3.7951875,300,5.4519712,7.1512307,-154.117631,-6.8444482,-0.5133832,-0.0005444,-1.09E-05,15
6,6.42177,6.3451264,5.6307034,6.02383,5.9472003,5.2326912,6.1999213,6.1232684,5.4089028,-30.837097,-30.8941931,-30.5412761,-45.9460526,-46.0421225,-45.4482045,-20.76446,-20.7950336,-20.6060759,4.7607347,4.8000257,4.557164,5.950659,6,5.6949672,3.9674519,4,3.7988385,350,5.5857822,7.351947,-154.185485,-6.776594,-0.4402784,-0.0004002,-6.86E-06,17.5
7,6.595748,6.52888,5.7501773,6.197808,6.1309671,5.3520744,6.3738993,6.3070131,5.5284372,-30.8455747,-30.8944999,-30.5516511,-45.9581492,-46.0421225,-45.4534484,-20.7705251,-20.7950339,-20.6233281,4.7656651,4.80005,4.5590939,5.9568004,6,5.6971602,3.9715749,4,3.8008572,400,5.701704,7.5258299,-154.227874,-6.7342054,-0.385377,-0.0003065,-4.60E-06,20
8,6.7491628,6.6899189,5.8547365,6.3512227,6.291971,5.4568502,6.5273141,6.4680754,5.6328519,-30.846926,-30.893686,-30.5269946,-45.9673377,-46.0421225,-45.455733,-20.766653,-20.7950342,-20.5724511,4.769419,4.7999855,4.5602836,5.9617881,6,5.7003797,3.9745064,4,3.8000629,450,5.8039609,7.6792151,-154.23463,-6.7274493,-0.3425914,-0.0002422,-3.23E-06,22.5
9,6.8864301,6.8332518,5.9480627,6.4884901,6.4353279,5.5499983,6.6645814,6.6113923,5.7262968,-30.8514448,-30.8942447,-30.5228716,-45.9744773,-46.0421225,-45.4549994,-20.7694253,-20.7950344,-20.5728684,4.7724381,4.8000297,4.5606187,5.9655783,6,5.701239,3.9770115,4,3.8005679,500,5.8954372,7.8164297,-154.257224,-6.7048551,-0.3083911,-0.0001962,-2.35E-06,25
